Date,house_starts,build_permit,cpi,ppi,gdp,corp_profit,ind_prod,home_sales,home_constr,imports,personal_consump,unempl_claims,consum_sent,lead_ind,t10_2,bus_confid,unempl_rate,cap_util,euro_confid,recess_prob,CAPE,fed_funds,VTI,AGG,DBC,^VIX,VTI_1d_Rtn,AGG_1d_Rtn,DBC_1d_Rtn,^VIX_1d_Rtn
2/27/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.078616352,1.003603452,1.011728559,-1.50E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.02997614,0.999700757,0.977872214,0.852832967,0.00287978,-0.002092982,-0.019624608,0.011343814
2/28/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.066878981,1.003603452,1.011728559,-1.40E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.019824285,1.001797501,0.991063829,0.908020604,-0.009856398,0.002097372,0.013490122,0.064710957
3/1/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.066878981,1.002289717,1.011990501,-1.20E-05,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.028777238,1.001827643,0.988936201,0.849153777,0.008778917,3.01E-05,-0.002146813,-0.064829836
3/2/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.066878981,1.002289717,1.011990501,-8.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.028057589,0.999322169,1.006808354,0.862398833,-0.000699518,-0.002500903,0.0180721,0.015597947
3/3/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.066878981,1.002289717,1.011990501,-8.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.026379348,0.997317698,1.016170182,0.88005886,-0.001632439,-0.002005831,0.00929852,0.020477796
3/6/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.038216561,1.002289717,1.011990501,-3.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.018865181,0.991804297,1,0.937453983,-0.007321043,-0.00552823,-0.015912868,0.065217369
3/7/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.093093093,1.002289717,1.011990501,-3.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.014708349,0.994310034,0.982553128,0.931567307,-0.004079864,0.002526444,-0.017446872,-0.006279429
3/8/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.093093093,1.002289717,1.011990501,1.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.017586004,0.994811498,0.966808509,0.9065489,0.002835943,0.000504334,-0.016024191,-0.026856253
3/9/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.093093093,1.002289717,1.011990501,2.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.012150423,0.993508932,0.976595806,0.933039011,-0.005341643,-0.00130936,0.010123305,0.029220829
3/10/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.093093093,1.002289717,1.011990501,2.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.020064168,0.993909417,0.972340361,0.871964698,0.007818744,0.000403102,-0.004357427,-0.065457406
3/13/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.078078078,1.002289717,1.011990501,3.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.022542332,0.995713118,0.985106413,0.836644574,0.002429419,0.001814754,0.013129201,-0.04050637
3/14/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.052469136,1.002289717,1.011990501,5.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.033093678,0.999021607,0.999574249,0.79028695,0.010318738,0.003322733,0.014686571,-0.055408982
